poi_code	orig_postcode	orig_city	orig_street	orig_housenumber	orig_conscriptionnumber	orig_name	new_postcode	new_city	new_street	new_housenumber	new_conscriptionnumber	new_name
*	1119	Budapest	Fehérvári út	192			1116	Budapest	Fehérvári út	192		
*	1116	Budapest	XI, 11 Kondorosi út	6			1116	Budapest	Kondorosi út	6		
*	1117	Budapest	Bogdánfy utca	*			1117	Budapest	Bogdánfy Ödön utca	*		
*	1117	Budapest	Budafoki utca	111-113			1117	Budapest	Budafoki út	111-113		
*	1117	Budapest	Hengermalom utca	19-21			1117	Budapest	Hengermalom út	19-21		
*	1116	Budapest	Hunyadi János út	*			1117	Budapest	Hunyadi János út	*		
*	1117	Budapest	Hunyadi János utca	*			1117	Budapest	Hunyadi János út	*		
*	1117	Budapest	Hunyadi János út 19., Savoya park				1117	Budapest	Hunyadi János út	19		
*	1117	Budapest	Irinyi utca	34-36			1117	Budapest	Irinyi József utca	34-36		
*	1117	Budapest	Körösi József utca	*			1117	Budapest	Kőrösy József utca	*		
*	1117	Budapest	Magyar Tudósok körút	*			1117	Budapest	Magyar tudósok körútja	*		
*	1117	Budapest	Október 23. utca	*			1117	Budapest	Október huszonharmadika utca	*		
*	1117	Budapest	Allee Bevásárlóközpont, Október 23. u.	*			1117	Budapest	Október huszonharmadika utca	*		
hupostacso	1871	Budapest	Október huszonharmadika utca	8-10			1117	Budapest	Október huszonharmadika utca	8-10		
*	1116	Budapest	Budaörsi út	115			1118	Budapest	Budaörsi út	115		
*	1118	Budapest	budaörsi út				1118	Budapest	Budaörsi út			
*	1115	Budapest	Andor utca	*			1119	Budapest	Andor utca	*		
humolfu	1119	Budapest	Szeghalom utca				1119	Budapest	Borszéki utca			
hupostacso	1871	Budapest	Fehérvári út	161			1119	Budapest	Fehérvári út	161		
*	1116	Budapest	Fehérvári út	45-47			1119	Budapest	Fehérvári út	45-47		
*	1194	Budapest	Puskás F. utca	*			1119	Budapest	Puskás Tivadar utca	*		
*	1117	Budapest	Tétényi út	63			1119	Budapest	Tétényi út	63		
*	1124	Budapest	Rácz Aladár út	*			1121	Budapest	Rácz Aladár út	*		
*	1122	Budapest	Kékgolyó u.	1			1122	Budapest	Kék Golyó utca	1		
*	1122	Budapest	Magyar Jakobinusok tere	*			1122	Budapest	Magyar jakobinusok tere	*		
*	1123	Budapest	Alkotás u.	53			1123	Budapest	Alkotás utca	53		
*	1123	Budapest	Alkotás u. (MOM park)	53			1123	Budapest	Alkotás utca	53		
*	1123	Budapest	Csőrsz utca	23-25			1123	Budapest	Csörsz utca	23-25		
*	1122	Budapest	Nagyenyed utca	*			1123	Budapest	Nagyenyed utca	*		
*	1123	Budapest	Jagelló út	20			1124	Budapest	Jagelló út	20		
*	1125	Budapest	Istenhegyi utca	55			1125	Budapest	Istenhegyi út	55		
*	1125	Budapest	Zalai utca	*			1125	Budapest	Zalai út	*		
*	1126	Budapest	Nagy Jenő u.	*			1126	Budapest	Nagy Jenő utca	*		
*	1125	Budapest	Szendrő utca	*			1126	Budapest	Szendrő utca	*		
*	1131	Budapest	Béke út	73			1131	Budapest	Béke utca	73		
*	1139	Budapest	Bessenyei utca				1133	Budapest	Bessenyei utca			
hupostacso	1870	Budapest	Árpád híd	aluljáró			1133	Budapest	Göncz Árpád városközpont			
*	1135	Budapest	Váci út	9-15			1134	Budapest	Váci út	9-15		
*	1135	Budapest	Béke út	13-19			1135	Budapest	Béke utca	13-19		
*	1135	Budapest	Béke út	58			1135	Budapest	Béke utca	58		
*	1139	Budapest	Országbíró utca	54			1135	Budapest	Országbíró utca	54		
*	1131	Budapest	Reitter Ferenc utca	99			1135	Budapest	Reitter Ferenc utca	99		
*	1135	Budapest	Szent László utca	25			1135	Budapest	Szent László út	25		
*	1131	Budapest	Dunavirág utca	*			1138	Budapest	Dunavirág utca	*		
hupostacso	1870	Budapest	Gács utca	3			1138	Budapest	Gács utca	3		
*	1131	Budapest	Gyöngyösi sétány	*			1138	Budapest	Gyöngyösi sétány	*		
*	1138	Budapest	népfürdő utca				1138	Budapest	Népfürdő utca			
*	1139		Országbíró út	38-42			1139	Budapest	Országbíró utca	38-42		
*	1138	Budapest	Pap Károly utca				1139	Budapest	Pap Károly utca			
*	1144	Budapest	Fogarasi út	183			1141	Budapest	Fogarasi út	183		
*	1142	Budapest	Kacsóh Pongrácz út	131			1142	Budapest	Kacsóh Pongrác út	131		
*	1146	Budapest	Vágány utca	21			1142	Budapest	Vágány utca	21		
*	1141	Budapest	Hungária  körút	116			1143	Budapest	Hungária körút	116		
*	1141	Budapest	Hungária körút	116-118			1143	Budapest	Hungária körút	116-118		
*	1146	Budapest	Stefánia út	75			1143	Budapest	Stefánia út	75		
*	1149	Budapest	SZOBRÁNC utca	*			1143	Budapest	Szobránc utca	*		
*	1141	Budapest	Csertő park	3/A			1144	Budapest	Csertő park	3/a		
*	1144	Budapest	füredi út				1144	Budapest	Füredi utca			
*	1144	Budapest	Gvadányi út	*			1144	Budapest	Gvadányi utca	*		
*	1144	Budapest	Szentmihályi utca	*			1144	Budapest	Szentmihályi út	*		
*	1069	Budapest	Dózsa györgy út				1146	Budapest	Dózsa György út			
*	1145	Budapest	Thököly út	122			1146	Budapest	Thököly út	122		
*	1149	Budapest	Fogarasi út	56/A			1148	Budapest	Fogarasi út	56/a		
*	1148	Budapest	Örs vezér tér	*			1148	Budapest	Örs vezér tere	*		
*	1146	Budapest	Egressy út	178/C			1149	Budapest	Egressy út	178/c		
*	1149	Budapest	MOGYORÓDI út	22-32			1149	Budapest	Mogyoródi út	22-32		
*	1149	Budapest	Nagy Lajos király utca	146			1149	Budapest	Nagy Lajos király útja	146		
*	1149	Budapest	Nagy Lajos király út	146			1149	Budapest	Nagy Lajos király útja	146		
*	1141	Budapest	Nagy Lajos király útja	212-214			1149	Budapest	Nagy Lajos király útja	212-214		
hupostacso	1870	Budapest	Pillangó utca	15			1149	Budapest	Pillangó utca	15		
huemobichs	1152	Budapest	Szilas pihenő	3			1152	Budapest	M3 autópálya			
*	1153	Budapest	Széchenyi tér	*			1152	Budapest	Széchenyi tér	*		
*	1154	Budapest	Szentmihályi út	131			1152	Budapest	Szentmihályi út	131		
hupostacso	1836	Budapest	Szentmihályi út	167-169			1152	Budapest	Szentmihályi út	167-169		
*	1152	Budapest	Szentmihályi utca	167-169			1152	Budapest	Szentmihályi út	167-169		
*	1156	Budapest	szentmihályi út				1152	Budapest	Szentmihályi út			
*	1156	Budapest	Szentmihályi út	148			1154	Budapest	Szentmihályi út	148		
*	1152	Budapest	Szent Korona útja	25/B			1155	Budapest	Szent Korona útja	25/b		
*	1153	Budapest	Nyírpalota utca	2			1156	Budapest	Nyírpalota út	2		
*	1156	Budapest	Nyírpalota utca	2-4			1156	Budapest	Nyírpalota út	2-4		
*	1156	Budapest	Páskomliget u.	*			1156	Budapest	Páskomliget utca	*		
*	1152	Budapest	Szilas park	*			1156	Budapest	Szilas park	*		
*	1162	Budapest	Köztársaság útja	*			1161	Budapest	Köztársaság útja	*		
*	1162	Budapest	Csömöri és Szlovák utca sarok				1162	Budapest	Csömöri út			
*	1162	Budapest	Rákosi utca	142-146			1162	Budapest	Rákosi út	142-146		
